Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
ATPAF1	0	0	0	0	2	0	0	0	2	2	2	10	20
PRSS2	0	0	0	0	2	0	0	0	2	2	2	10	20
SOX1	1	0	1	0	0	0	0	0	2	2	2	10	20
ZIC5	2	0	0	0	0	0	0	0	2	2	2	10	20
HLA-DQB2	0	0	0	0	2	0	0	0	2	1	1	10	10
IGFN1	0	0	0	0	2	0	0	0	2	1	1	10	10
MKI67	0	0	0	0	2	0	0	0	2	1	1	10	10
OR56A1	0	0	0	0	2	0	0	0	2	1	1	10	10
ABCA13	0	0	0	0	1	0	0	0	1	1	1	10	10
ACTN1	0	0	0	0	1	0	0	0	1	1	1	10	10
ACTR3	0	0	0	0	0	1	0	0	1	1	1	10	10
AFTPH	0	0	1	0	0	0	0	0	1	1	1	10	10
AHNAK2	0	0	0	0	1	0	0	0	1	1	1	10	10
AKAP8L	0	0	0	0	1	0	0	0	1	1	1	10	10
ANKAR	0	0	0	0	1	0	0	0	1	1	1	10	10
ANKRD33B	0	0	0	0	1	0	0	0	1	1	1	10	10
ARHGAP29	0	0	0	0	1	0	0	0	1	1	1	10	10
ARID1A	0	0	0	0	1	0	0	0	1	1	1	10	10
ARID1B	0	0	1	0	0	0	0	0	1	1	1	10	10
ATM	0	0	0	0	1	0	0	0	1	1	1	10	10
BARD1	0	0	0	0	1	0	0	0	1	1	1	10	10
CCDC30	1	0	0	0	0	0	0	0	1	1	1	10	10
CENPF	0	0	0	0	1	0	0	0	1	1	1	10	10
CHD8	0	0	0	0	1	0	0	0	1	1	1	10	10
CMPK1	0	0	0	0	0	0	1	0	1	1	1	10	10
COL8A2	0	0	0	0	1	0	0	0	1	1	1	10	10
CPAMD8	0	0	0	0	1	0	0	0	1	1	1	10	10
CR382285.1	0	0	0	0	0	0	1	0	1	1	1	10	10
CRB2	0	0	1	0	0	0	0	0	1	1	1	10	10
CTNND2	0	0	1	0	0	0	0	0	1	1	1	10	10
CTR9	0	0	0	0	0	1	0	0	1	1	1	10	10
CTSC	0	0	0	0	1	0	0	0	1	1	1	10	10
DACH1	0	0	0	1	0	0	0	0	1	1	1	10	10
DGKA	0	0	0	0	1	0	0	0	1	1	1	10	10
DLG3	0	0	0	0	1	0	0	0	1	1	1	10	10
DLGAP4	0	0	0	0	1	0	0	0	1	1	1	10	10
DNMBP	0	0	0	0	1	0	0	0	1	1	1	10	10
DRC7	0	0	0	0	1	0	0	0	1	1	1	10	10
EIF2B4	0	0	0	0	1	0	0	0	1	1	1	10	10
FAM160A2	0	0	0	0	1	0	0	0	1	1	1	10	10
FAM184A	0	0	0	0	1	0	0	0	1	1	1	10	10
FAM47A	0	0	0	0	1	0	0	0	1	1	1	10	10
GNL2	0	0	0	0	1	0	0	0	1	1	1	10	10
GRID2	0	0	0	0	1	0	0	0	1	1	1	10	10
GRM1	0	0	0	0	1	0	0	0	1	1	1	10	10
GTF2E2	0	0	0	0	1	0	0	0	1	1	1	10	10
GUCY2F	0	0	0	0	1	0	0	0	1	1	1	10	10
HPSE2	0	0	0	0	0	1	0	0	1	1	1	10	10
HSPG2	0	0	0	0	1	0	0	0	1	1	1	10	10
IGHV3-11	0	0	0	0	1	0	0	0	1	1	1	10	10
IGHV4-4	0	0	0	0	1	0	0	0	1	1	1	10	10
IL27	0	0	1	0	0	0	0	0	1	1	1	10	10
IRX1	0	0	0	0	1	0	0	0	1	1	1	10	10
IRX6	1	0	0	0	0	0	0	0	1	1	1	10	10
KIAA1549	0	0	0	0	1	0	0	0	1	1	1	10	10
KIAA2026	0	1	0	0	0	0	0	0	1	1	1	10	10
KL	0	0	0	0	1	0	0	0	1	1	1	10	10
KLF18	0	0	0	1	0	0	0	0	1	1	1	10	10
KRTAP5-3	0	0	0	0	1	0	0	0	1	1	1	10	10
LAMA1	0	0	0	0	1	0	0	0	1	1	1	10	10
LDLRAD1	0	0	0	0	1	0	0	0	1	1	1	10	10
LRRC53	0	0	0	0	1	0	0	0	1	1	1	10	10
MAGEB5	0	0	0	0	1	0	0	0	1	1	1	10	10
MAP3K6	0	0	0	0	1	0	0	0	1	1	1	10	10
MAP3K9	0	0	1	0	0	0	0	0	1	1	1	10	10
MARCH6	0	0	0	0	1	0	0	0	1	1	1	10	10
MB21D2	0	0	0	0	1	0	0	0	1	1	1	10	10
MBD3	0	0	1	0	0	0	0	0	1	1	1	10	10
MET	0	0	0	0	1	0	0	0	1	1	1	10	10
MSH2	0	0	0	0	1	0	0	0	1	1	1	10	10
MYH14	0	0	0	0	1	0	0	0	1	1	1	10	10
MYO1H	0	0	0	0	1	0	0	0	1	1	1	10	10
NBL1	0	0	0	0	1	0	0	0	1	1	1	10	10
NDNF	0	0	0	0	1	0	0	0	1	1	1	10	10
NLRP3	0	0	0	0	1	0	0	0	1	1	1	10	10
NRXN3	0	0	0	0	1	0	0	0	1	1	1	10	10
NSD1	0	0	0	0	0	1	0	0	1	1	1	10	10
OAZ3	0	0	0	0	1	0	0	0	1	1	1	10	10
ONECUT1	0	0	0	0	1	0	0	0	1	1	1	10	10
OPN4	0	0	0	0	1	0	0	0	1	1	1	10	10
PABPC5	0	0	0	0	1	0	0	0	1	1	1	10	10
PALM3	0	0	0	0	1	0	0	0	1	1	1	10	10
PCDHB11	0	0	0	0	1	0	0	0	1	1	1	10	10
PCDHGA11	0	0	0	0	1	0	0	0	1	1	1	10	10
PCSK2	0	0	0	0	1	0	0	0	1	1	1	10	10
PHLPP1	0	0	1	0	0	0	0	0	1	1	1	10	10
PIGN	0	0	0	0	1	0	0	0	1	1	1	10	10
PKNOX2	0	0	1	0	0	0	0	0	1	1	1	10	10
POGZ	0	0	0	0	1	0	0	0	1	1	1	10	10
POTEC	0	0	0	0	1	0	0	0	1	1	1	10	10
PPFIA2	0	0	0	0	0	0	1	0	1	1	1	10	10
PRKCSH	0	0	1	0	0	0	0	0	1	1	1	10	10
PTH2R	1	0	0	0	0	0	0	0	1	1	1	10	10
QRICH2	0	0	0	0	1	0	0	0	1	1	1	10	10
RAMP2	0	0	1	0	0	0	0	0	1	1	1	10	10
RBM25	1	0	0	0	0	0	0	0	1	1	1	10	10
RBPJ	0	0	0	0	1	0	0	0	1	1	1	10	10
RFX6	0	0	0	0	1	0	0	0	1	1	1	10	10
RICTOR	0	0	0	0	1	0	0	0	1	1	1	10	10
RP1L1	0	0	0	0	1	0	0	0	1	1	1	10	10
RUBCN	0	0	0	0	1	0	0	0	1	1	1	10	10
