Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CTNNB1	0	0	0	3	0	0	0	0	3	3	3	16	18.75
PHLPP1	0	0	3	0	0	0	0	0	3	3	3	16	18.75
CENPB	0	0	0	0	0	0	0	2	2	2	2	16	12.5
RAMP2	0	0	2	0	0	0	0	0	2	2	2	16	12.5
PRAMEF19	0	0	0	2	0	0	0	0	2	1	1	16	6.25
ABCC9	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ADAMTS19	0	0	0	1	0	0	0	0	1	1	1	16	6.25
AFAP1L2	0	0	0	0	0	0	1	0	1	1	1	16	6.25
AKAP2	0	0	0	0	0	0	1	0	1	1	1	16	6.25
ALDH9A1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ANAPC7	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ANKLE1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
APOB	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ARAP1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ARHGAP32	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ARL6IP6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ATP13A3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
BTLA	1	0	0	0	0	0	0	0	1	1	1	16	6.25
C5orf38	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CACNA2D1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CASP3	0	0	1	0	0	0	0	0	1	1	1	16	6.25
CC2D1A	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CCDC168	0	1	0	0	0	0	0	0	1	1	1	16	6.25
CCDC194	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CCDC96	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CDK14	0	0	0	1	0	0	0	0	1	1	1	16	6.25
CNPPD1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
COL11A1	1	0	0	0	0	0	0	0	1	1	1	16	6.25
CTAGE15	1	0	0	0	0	0	0	0	1	1	1	16	6.25
CTNND2	0	0	0	0	0	0	0	1	1	1	1	16	6.25
DDX53	0	0	0	1	0	0	0	0	1	1	1	16	6.25
DDX60	0	0	0	1	0	0	0	0	1	1	1	16	6.25
DNAH10	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ENTHD1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
EXOSC7	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FADS2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FAM124A	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FAM207A	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FAM83H	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FAM92A	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FBXW11	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FDX1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FGD4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
FGFR1	0	0	1	0	0	0	0	0	1	1	1	16	6.25
FGFRL1	1	0	0	0	0	0	0	0	1	1	1	16	6.25
FLG2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
GDF7	0	0	0	0	0	1	0	0	1	1	1	16	6.25
GFPT1	1	0	0	0	0	0	0	0	1	1	1	16	6.25
GK2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
GOLGA3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
GPR143	0	0	0	1	0	0	0	0	1	1	1	16	6.25
HELZ2	0	1	0	0	0	0	0	0	1	1	1	16	6.25
HMBS	1	0	0	0	0	0	0	0	1	1	1	16	6.25
HRC	0	0	1	0	0	0	0	0	1	1	1	16	6.25
HVCN1	0	0	1	0	0	0	0	0	1	1	1	16	6.25
IFIT3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
INAVA	0	0	0	1	0	0	0	0	1	1	1	16	6.25
JAKMIP2	1	0	0	0	0	0	0	0	1	1	1	16	6.25
JCAD	0	0	0	1	0	0	0	0	1	1	1	16	6.25
KALRN	0	0	0	1	0	0	0	0	1	1	1	16	6.25
KAT6B	1	0	0	0	0	0	0	0	1	1	1	16	6.25
