Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
H3F3A	0	0	0	0	37	0	0	0	0	37	37	37	40	92.5
TP53	0	0	0	0	26	2	0	2	0	30	26	26	40	65
ATRX	4	0	0	0	5	2	0	1	0	12	12	12	40	30
NF1	4	0	0	0	1	5	0	2	0	12	8	8	40	20
PIK3CA	0	0	3	0	5	0	0	0	0	8	8	8	40	20
PPM1D	1	1	0	0	0	5	0	0	0	7	7	7	40	17.5
MUC16	0	0	0	0	5	0	0	0	0	5	5	5	40	12.5
TTN	1	0	0	0	4	0	0	0	0	5	5	5	40	12.5
PTPN11	0	0	0	0	4	0	0	0	0	4	4	4	40	10
RAMP2	0	0	4	0	0	0	0	0	0	4	4	4	40	10
SOX1	3	0	1	0	0	0	0	0	0	4	4	4	40	10
SOX10	2	0	0	0	1	1	0	0	0	4	4	4	40	10
PTEN	0	1	0	0	2	0	0	1	0	4	3	3	40	7.5
ACVR1	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
AHNAK2	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
DLX6	1	0	2	0	0	0	0	0	0	3	3	3	40	7.5
DNAH5	0	0	0	0	2	1	0	0	0	3	3	3	40	7.5
ELAVL2	1	0	1	0	1	0	0	0	0	3	3	3	40	7.5
KALRN	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
NBPF10	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
PHLPP1	0	0	3	0	0	0	0	0	0	3	3	3	40	7.5
RYR1	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
SP8	0	0	3	0	0	0	0	0	0	3	3	3	40	7.5
TNC	0	0	0	0	3	0	0	0	0	3	3	3	40	7.5
KAT6B	1	2	0	0	1	0	0	0	0	4	2	2	40	5
BRAF	0	0	0	0	3	0	0	0	0	3	2	2	40	5
DNAH12	1	0	0	0	2	0	0	0	0	3	2	2	40	5
ABCA7	0	0	0	0	2	0	0	0	0	2	2	2	40	5
AC099489.1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
ACAD11	0	1	0	0	1	0	0	0	0	2	2	2	40	5
ANKRD30A	0	0	0	0	2	0	0	0	0	2	2	2	40	5
APOB	0	0	0	0	2	0	0	0	0	2	2	2	40	5
ATP2A3	0	0	0	0	2	0	0	0	0	2	2	2	40	5
BCL9L	0	0	0	0	1	1	0	0	0	2	2	2	40	5
CARMIL3	1	0	0	0	1	0	0	0	0	2	2	2	40	5
CDH9	0	0	0	0	2	0	0	0	0	2	2	2	40	5
CENPB	0	0	0	0	0	0	0	0	2	2	2	2	40	5
CFAP47	1	0	0	0	1	0	0	0	0	2	2	2	40	5
CFAP65	0	0	0	0	2	0	0	0	0	2	2	2	40	5
CLASP1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
CPT1A	0	0	0	0	2	0	0	0	0	2	2	2	40	5
CREBBP	0	0	0	0	1	0	0	1	0	2	2	2	40	5
DEAF1	0	0	2	0	0	0	0	0	0	2	2	2	40	5
DIAPH2	0	0	0	0	1	0	0	1	0	2	2	2	40	5
DNAH1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
DNAH11	0	0	0	0	2	0	0	0	0	2	2	2	40	5
DNAH14	1	0	0	0	1	0	0	0	0	2	2	2	40	5
DUSP27	0	0	0	0	2	0	0	0	0	2	2	2	40	5
F8	0	0	0	0	2	0	0	0	0	2	2	2	40	5
FLCN	1	0	0	0	1	0	0	0	0	2	2	2	40	5
FLG	0	0	0	0	2	0	0	0	0	2	2	2	40	5
HIST1H3B	0	0	0	0	2	0	0	0	0	2	2	2	40	5
HRNR	0	0	0	0	2	0	0	0	0	2	2	2	40	5
HSH2D	0	0	0	0	2	0	0	0	0	2	2	2	40	5
HTR1A	0	0	0	0	2	0	0	0	0	2	2	2	40	5
IRX1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
ISG20L2	1	0	0	0	1	0	0	0	0	2	2	2	40	5
ITPR1	0	0	0	0	1	1	0	0	0	2	2	2	40	5
KIR2DL1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
KIR2DL3	0	0	0	0	2	0	0	0	0	2	2	2	40	5
KPRP	0	0	0	0	1	1	0	0	0	2	2	2	40	5
MAP3K15	0	0	0	0	2	0	0	0	0	2	2	2	40	5
MKI67	0	0	0	0	2	0	0	0	0	2	2	2	40	5
MT-ND5	0	0	0	0	2	0	0	0	0	2	2	2	40	5
MUC5AC	0	0	0	0	2	0	0	0	0	2	2	2	40	5
MYT1	0	0	1	0	1	0	0	0	0	2	2	2	40	5
PCDH11X	0	0	0	0	2	0	0	0	0	2	2	2	40	5
PDGFRA	0	0	0	0	2	0	0	0	0	2	2	2	40	5
PIK3R1	0	0	0	1	1	0	0	0	0	2	2	2	40	5
PKHD1L1	0	0	0	0	1	1	0	0	0	2	2	2	40	5
PLEKHH3	2	0	0	0	0	0	0	0	0	2	2	2	40	5
PRSS16	1	0	0	0	1	0	0	0	0	2	2	2	40	5
PSG7	0	0	0	0	2	0	0	0	0	2	2	2	40	5
RNU6-642P	0	0	0	0	0	0	0	2	0	2	2	2	40	5
RP1L1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
RPTN	1	0	0	0	1	0	0	0	0	2	2	2	40	5
SAMD9L	1	0	0	0	1	0	0	0	0	2	2	2	40	5
SIPA1L2	0	0	1	0	0	1	0	0	0	2	2	2	40	5
SRRM4	0	0	0	0	2	0	0	0	0	2	2	2	40	5
SYNE3	0	0	0	0	1	1	0	0	0	2	2	2	40	5
TEX13C	0	0	0	0	2	0	0	0	0	2	2	2	40	5
TRIM48	0	0	0	0	2	0	0	0	0	2	2	2	40	5
TRPM2	0	0	0	0	2	0	0	0	0	2	2	2	40	5
VPS8	0	0	0	0	2	0	0	0	0	2	2	2	40	5
WIPF1	0	0	0	0	2	0	0	0	0	2	2	2	40	5
ZC3H13	1	1	0	0	0	0	0	0	0	2	2	2	40	5
ZCCHC14	1	0	1	0	0	0	0	0	0	2	2	2	40	5
ZIC5	2	0	0	0	0	0	0	0	0	2	2	2	40	5
ZNF804B	0	0	0	0	2	0	0	0	0	2	2	2	40	5
EXOC8	0	0	0	0	4	0	0	0	0	4	1	1	40	2.5
TFEC	0	0	0	0	3	1	0	0	0	4	1	1	40	2.5
KANK1	0	0	0	0	3	0	0	0	0	3	1	1	40	2.5
PER1	0	0	0	0	3	0	0	0	0	3	1	1	40	2.5
SAMD4A	0	2	0	0	1	0	0	0	0	3	1	1	40	2.5
ADAMTS18	1	0	0	0	1	0	0	0	0	2	1	1	40	2.5
ADGRV1	0	0	0	0	2	0	0	0	0	2	1	1	40	2.5
CUX2	0	0	0	0	2	0	0	0	0	2	1	1	40	2.5
DNAH17	0	0	0	0	2	0	0	0	0	2	1	1	40	2.5
KIR3DL1	0	1	0	0	1	0	0	0	0	2	1	1	40	2.5
MT-ND4	1	0	0	0	1	0	0	0	0	2	1	1	40	2.5
SLC4A1	0	0	0	0	2	0	0	0	0	2	1	1	40	2.5
SNX25	0	0	1	0	1	0	0	0	0	2	1	1	40	2.5
A1CF	0	0	1	0	0	0	0	0	0	1	1	1	40	2.5
A4GNT	0	0	0	0	1	0	0	0	0	1	1	1	40	2.5
